Temp,Pres,Dens
295.92,5.3785,762.76
296.02,5.39,761.95
296.12,5.4015,761.13
296.21,5.413,760.32
296.31,5.4245,759.5
296.4,5.436,758.68
296.49,5.4475,757.86
296.59,5.459,757.04
296.68,5.4705,756.22
296.78,5.482,755.39
296.87,5.4935,754.56
296.97,5.505,753.73
297.06,5.5165,752.9
297.15,5.528,752.06
297.25,5.5395,751.23
297.34,5.551,750.39
297.43,5.5625,749.55
297.53,5.574,748.7
297.62,5.5855,747.86
297.71,5.597,747.01
297.8,5.6085,746.16
297.9,5.62,745.3
297.99,5.6315,744.45
298.08,5.643,743.59
298.17,5.6545,742.73
298.26,5.666,741.87
298.35,5.6775,741
298.45,5.689,740.13
298.54,5.7005,739.26
298.63,5.712,738.39
298.72,5.7235,737.51
298.81,5.735,736.63
298.9,5.7465,735.75
298.99,5.758,734.87
299.08,5.7695,733.98
299.17,5.781,733.09
299.26,5.7925,732.2
299.35,5.804,731.3
299.44,5.8155,730.4
299.53,5.827,729.5
299.62,5.8385,728.59
299.71,5.85,727.68
299.8,5.8615,726.77
299.89,5.873,725.86
299.98,5.8845,724.94
300.07,5.896,724.01
300.15,5.9075,723.09
300.24,5.919,722.16
300.33,5.9305,721.22
300.42,5.942,720.29
300.51,5.9535,719.35
300.6,5.965,718.4
300.68,5.9765,717.45
300.77,5.988,716.5
300.86,5.9995,715.54
300.95,6.011,714.58
301.03,6.0225,713.62
301.12,6.034,712.65
301.21,6.0455,711.67
301.29,6.057,710.7
301.38,6.0685,709.71
301.47,6.08,708.73
301.55,6.0915,707.74
301.64,6.103,706.74
301.73,6.1145,705.74
301.81,6.126,704.73
301.9,6.1375,703.72
301.98,6.149,702.7
302.07,6.1605,701.68
302.15,6.172,700.65
302.24,6.1835,699.62
302.32,6.195,698.58
302.41,6.2065,697.54
302.49,6.218,696.49
302.58,6.2295,695.43
302.66,6.241,694.37
302.75,6.2525,693.31
302.83,6.264,692.23
302.92,6.2755,691.15
303,6.287,690.06
303.08,6.2985,688.97
303.17,6.31,687.87
303.25,6.3215,686.76
303.34,6.333,685.65
303.42,6.3445,684.53
303.5,6.356,683.4
303.58,6.3675,682.26
303.67,6.379,681.11
303.75,6.3905,679.96
303.83,6.402,678.8
303.92,6.4135,677.63
304,6.425,676.45
304.08,6.4365,675.26
304.16,6.448,674.06
304.24,6.4595,672.86
304.33,6.471,671.64
304.41,6.4825,670.42
304.49,6.494,669.18
304.57,6.5055,667.93
304.65,6.517,666.68
304.73,6.5285,665.41
304.81,6.54,664.13
304.9,6.5515,662.84
304.98,6.563,661.53
305.06,6.5745,660.22
305.14,6.586,658.89
305.22,6.5975,657.55
305.3,6.609,656.19
305.38,6.6205,654.82
305.46,6.632,653.44
305.54,6.6435,652.04
305.62,6.655,650.63
